name,location,rating,review_count,price,categories,coordinates,latitude,longitude
Dim Sum Bistro,"675 Broadway St San Francisco, CA 94133",4.5,143,$,Chinese,"{'latitude': 37.79749, 'longitude': -122.40813}",37.79749,-122.40813
Great China,"2190 Bancroft Way Berkeley, CA 94704",4.0,2095,$$,Chinese,"{'latitude': 37.8676818865786, 'longitude': -122.26615783488}",37.8676818865786,-122.26615783488
Hakkasan,"1 Kearny St San Francisco, CA 94108",4.0,1741,$$$,Chinese,"{'latitude': 37.78771, 'longitude': -122.40385}",37.78771,-122.40385
Eight Tables by George Chen,"8 Kenneth Rexroth Pl San Francisco, CA 94133",4.5,116,$$$$,Chinese,"{'latitude': 37.7984516089432, 'longitude': -122.407781330184}",37.7984516089432,-122.407781330184
Delicious Dim Sum,"752 Jackson St San Francisco, CA 94133",4.0,943,$,Chinese,"{'latitude': 37.796051, 'longitude': -122.4076004}",37.796051,-122.4076004
Szechuan Cuisine,"1920 Irving St San Francisco, CA 94122",4.0,326,$$,Chinese,"{'latitude': 37.7636943071254, 'longitude': -122.478669355226}",37.7636943071254,-122.478669355226
China Live,"644 Broadway San Francisco, CA 94133",3.5,1140,$$,Chinese,"{'latitude': 37.7977636140901, 'longitude': -122.407851420238}",37.7977636140901,-122.407851420238
Top SF BBQ,"2311 Clement St. San Francisco, CA 94121",3.5,95,$$,Chinese,"{'latitude': 37.7818, 'longitude': -122.48406}",37.7818,-122.48406
Xiao Loong Restaurant,"250 W Portal Ave San Francisco, CA 94127",4.0,275,$$,Chinese,"{'latitude': 37.7385499, 'longitude': -122.46884}",37.7385499,-122.46884
General Tso Kitchen,"3741 Geary Blvd San Francisco, CA 94118",4.0,149,$$,Chinese,"{'latitude': 37.7809198861184, 'longitude': -122.459610030055}",37.7809198861184,-122.459610030055
Spices,"291 6th Ave San Francisco, CA 94118",4.0,173,$$,Chinese,"{'latitude': 37.783203125, 'longitude': -122.464614868164}",37.783203125,-122.464614868164
Win Garden,"2794 Diamond St San Francisco, CA 94131",4.0,309,$$,Chinese,"{'latitude': 37.7346533, 'longitude': -122.4338679}",37.7346533,-122.4338679
Chili House SF,"726 Clement St San Francisco, CA 94118",3.5,619,$$,Chinese,"{'latitude': 37.78297, 'longitude': -122.46708}",37.78297,-122.46708
Shandong Restaurant,"328 10th St Ste 101 Oakland, CA 94607",4.0,2859,$$,Chinese,"{'latitude': 37.800607171031, 'longitude': -122.26986193448}",37.800607171031,-122.26986193448
Hakka Restaurant,"4401 Cabrillo St San Francisco, CA 94121",3.5,416,$$,Chinese,"{'latitude': 37.7732009887695, 'longitude': -122.505920410156}",37.7732009887695,-122.505920410156
Tenglong Chinese Restaurant,"208 Clement St San Francisco, CA 94118",4.0,225,$$,Chinese,"{'latitude': 37.783409, 'longitude': -122.461522}",37.783409,-122.461522
Yummy Dumpling,"1708 Irving St San Francisco, CA 94122",4.5,118,$,Chinese,"{'latitude': 37.7637346, 'longitude': -122.4761766}",37.7637346,-122.4761766
Village House,"3398 Balboa St San Francisco, CA 94121",4.5,237,$$,Chinese,"{'latitude': 37.77603, 'longitude': -122.49492}",37.77603,-122.49492
Hong Kong Clay Pot Restaurant,"960 Grant Ave San Francisco, CA 94108",4.0,885,$$,Chinese,"{'latitude': 37.79588, 'longitude': -122.40649}",37.79588,-122.40649
Clement BBQ,"617 Clement St San Francisco, CA 94118",4.0,267,$,Chinese,"{'latitude': 37.7826652526855, 'longitude': -122.465911865234}",37.7826652526855,-122.465911865234
Great Eastern Restaurant,"649 Jackson St San Francisco, CA 94133",3.5,2040,$$,Chinese,"{'latitude': 37.796085, 'longitude': -122.405968}",37.796085,-122.405968
Golden Saba Seafood,"646 Washington St San Francisco, CA 94111",4.5,126,$$,Chinese,"{'latitude': 37.79552, 'longitude': -122.40434}",37.79552,-122.40434
Yiyi's Mandarin Kitchen,"2435 Clement St San Francisco, CA 94121",4.0,40,$$,Chinese,"{'latitude': 37.78174, 'longitude': -122.48547}",37.78174,-122.48547
Fang,"660 Howard St San Francisco, CA 94105",3.5,1596,$$,Chinese,"{'latitude': 37.785795, 'longitude': -122.399874}",37.785795,-122.399874
Won Kok Restaurant,"700 Monterey Blvd San Francisco, CA 94127",3.0,123,$$,Chinese,"{'latitude': 37.7318077087402, 'longitude': -122.451293945312}",37.7318077087402,-122.451293945312
Joyful Kitchen,"1919 Ocean Ave San Francisco, CA 94127",3.0,127,$,Chinese,"{'latitude': 37.725246, 'longitude': -122.462876}",37.725246,-122.462876
Mandarin House SF,"3452 Mission St San Francisco, CA 94110",3.5,169,$$,Chinese,"{'latitude': 37.74153, 'longitude': -122.4228}",37.74153,-122.4228
Derm Restaurant,"3226 Geary Blvd San Francisco, CA 94118",4.5,213,$$,Chinese,"{'latitude': 37.7818512, 'longitude': -122.4537064}",37.7818512,-122.4537064
Sun Kwong Restaurant,"1400 Jackson St San Francisco, CA 94109",4.0,192,$,Chinese,"{'latitude': 37.79471, 'longitude': -122.41835}",37.79471,-122.41835
Wan Kee Restaurant,"2152 Mission St San Francisco, CA 94110",4.0,24,$,Chinese,"{'latitude': 37.7625198364258, 'longitude': -122.419708251953}",37.7625198364258,-122.419708251953
Sizzling Pot King,"139 8th St San Francisco, CA 94103",3.5,169,$$,Chinese,"{'latitude': 37.77722, 'longitude': -122.41251}",37.77722,-122.41251
Big Lantern,"3170 16th St San Francisco, CA 94103",3.5,874,$$,Chinese,"{'latitude': 37.76493, 'longitude': -122.42339}",37.76493,-122.42339
Ming Tai Wun-Tun Noodle,"2455 Noriega St San Francisco, CA 94122",3.5,253,$,Chinese,"{'latitude': 37.75341, 'longitude': -122.49021}",37.75341,-122.49021
Dumpling Alley,"2512 Clement St San Francisco, CA 94121",4.0,91,$$,Chinese,"{'latitude': 37.782167, 'longitude': -122.486328}",37.782167,-122.486328
Yank Sing,"101 Spear St San Francisco, CA 94105",3.5,2543,$$$,Chinese,"{'latitude': 37.7927224142545, 'longitude': -122.39312659859}",37.7927224142545,-122.39312659859
Yum Yum Hunan,"1828 Divisadero St San Francisco, CA 94115",3.5,487,$,Chinese,"{'latitude': 37.78662, 'longitude': -122.43985}",37.78662,-122.43985
House of Nanking,"919 Kearny St San Francisco, CA 94133",3.5,3362,$$,Chinese,"{'latitude': 37.79649, 'longitude': -122.405392}",37.79649,-122.405392
Yuanbao Jiaozi,"2110 Irving St San Francisco, CA 94122",4.0,287,$,Chinese,"{'latitude': 37.76356, 'longitude': -122.48067}",37.76356,-122.48067
Red Jade,"245 Church St San Francisco, CA 94114",3.5,738,$,Chinese,"{'latitude': 37.7668495178223, 'longitude': -122.428527832031}",37.7668495178223,-122.428527832031
Uncle Lee Cafe,"3608 Balboa St San Francisco, CA 94121",4.0,74,$$,Chinese,"{'latitude': 37.77585, 'longitude': -122.49761}",37.77585,-122.49761
New Tsing Tao Restaurant,"811 Ulloa St San Francisco, CA 94127",4.0,161,$$,Chinese,"{'latitude': 37.74052, 'longitude': -122.46543}",37.74052,-122.46543
Yan's Kitchen,"57 Columbus Ave San Francisco, CA 94111",4.0,495,$,Chinese,"{'latitude': 37.796121, 'longitude': -122.404399}",37.796121,-122.404399
Superstar Restaurant,"4919 Mission St San Francisco, CA 94112",4.5,410,$,Chinese,"{'latitude': 37.7195243835449, 'longitude': -122.438331604004}",37.7195243835449,-122.438331604004
Z & Y Bistro,"606 Jackson St San Francisco, CA 94133",4.0,126,$$,Chinese,"{'latitude': 37.79639, 'longitude': -122.4055142}",37.79639,-122.4055142
Elaine's Kitchen,"434 Broadway St San Francisco, CA 94133",4.0,368,$,Chinese,"{'latitude': 37.7982972, 'longitude': -122.4045086}",37.7982972,-122.4045086
Ming Kee Restaurant,"1548 Ocean Ave San Francisco, CA 94112",4.0,129,$,Chinese,"{'latitude': 37.7247201, 'longitude': -122.4590121}",37.7247201,-122.4590121
Hong Kong Lounge,"5322 Geary Blvd San Francisco, CA 94121",3.5,1608,$$,Chinese,"{'latitude': 37.780671, 'longitude': -122.476619}",37.780671,-122.476619
Mission Asia Noodle,"5249 Mission St San Francisco, CA 94112",4.5,97,$$,Chinese,"{'latitude': 37.71467, 'longitude': -122.4423}",37.71467,-122.4423
Dol Ho,"808 Pacific Ave San Francisco, CA 94133",4.0,387,$,Chinese,"{'latitude': 37.79675, 'longitude': -122.40879}",37.79675,-122.40879
